time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2006-12-01,8.3,4.7,10.0,0.0,,172.0,14.2,,1024.6,
2006-12-02,10.2,8.8,11.4,0.0,,187.0,10.6,,1017.1,
2006-12-03,9.6,7.7,11.8,0.3,,197.0,19.3,,1008.2,
2006-12-04,12.2,8.7,14.5,4.8,,216.0,20.0,,1006.7,
2006-12-05,13.3,10.7,15.7,4.3,,201.0,20.7,,1004.5,
2006-12-06,9.2,7.1,11.4,10.2,,224.0,12.8,,1009.0,
2006-12-07,9.2,5.5,11.6,0.0,,190.0,20.4,,1004.3,
2006-12-08,9.3,7.6,12.2,8.4,,193.0,20.4,,992.8,
2006-12-09,6.7,4.8,9.1,14.5,,278.0,9.1,,1012.0,
2006-12-10,5.3,4.1,8.4,0.0,,232.0,7.8,,1029.1,
2006-12-11,6.6,3.9,8.3,0.0,,188.0,19.0,,1024.3,
2006-12-12,6.2,4.6,8.3,7.9,,205.0,10.3,,1025.5,
2006-12-13,7.4,5.5,11.2,0.0,,206.0,13.7,,1029.9,
2006-12-14,5.1,3.0,8.6,0.0,,180.0,10.5,,1030.7,
2006-12-15,4.2,0.3,9.5,0.0,,166.0,9.2,,1027.4,
2006-12-16,6.2,3.8,8.6,0.0,,233.0,12.3,,1024.1,
2006-12-17,4.4,1.1,7.9,3.3,,217.0,4.6,,1029.5,
2006-12-18,4.6,3.4,6.0,0.0,,125.0,6.5,,1029.0,
2006-12-19,2.6,0.5,5.2,0.0,,22.0,14.8,,1034.1,
2006-12-20,2.9,0.5,5.7,0.0,,21.0,13.5,,1037.5,
2006-12-21,5.2,1.7,8.5,0.0,,23.0,14.5,,1039.4,
2006-12-22,5.1,3.8,6.8,0.0,,30.0,15.0,,1039.5,
2006-12-23,2.7,1.8,5.6,0.0,,34.0,10.4,,1038.2,
2006-12-24,2.4,1.6,2.8,0.0,,65.0,7.4,,1036.4,
2006-12-25,1.4,0.2,2.8,0.0,,27.0,7.2,,1035.5,
2006-12-26,0.3,-0.5,1.0,0.0,,115.0,6.6,,1034.2,
2006-12-27,0.5,0.3,0.7,0.0,,212.0,7.1,,1033.5,
2006-12-28,-0.8,-2.4,0.8,0.0,,167.0,8.5,,1030.8,
2006-12-29,2.3,-2.8,7.0,0.0,,167.0,11.4,,1024.9,
2006-12-30,8.9,6.3,11.7,0.0,,193.0,26.2,,1020.7,
2006-12-31,10.3,7.1,13.2,5.8,,203.0,19.1,,1026.8,
